seed,object,action,world_condition,method,trajectory_rmse_m,relative_intervention_rmse,ade_m,fde_m,early_rmse_m,middle_rmse_m,late_rmse_m,direction_error_deg,gross_failure,coverage,coverage_error,mean_interval_width_m,nees,gaussian_nll
4,cloth,diagonal_hook,matched_contact,physics_only,0.0013413567971945505,0.177932178950171,0.001392497824734366,0.0032010996221641186,0.00035625999338322577,0.0012505079066219167,0.0019526932721600431,7.999999999999981,False,0.9930555555555556,0.09305555555555556,0.007223549315343731,0.3374305973376184,-5.03945054684686
4,cloth,diagonal_hook,matched_contact,hybrid,0.0013413567971945505,0.177932178950171,0.001392497824734366,0.0032010996221641186,0.00035625999338322577,0.0012505079066219167,0.0019526932721600431,7.999999999999981,False,0.9930555555555556,0.09305555555555556,0.007223549315343731,0.3374305973376184,-5.03945054684686
4,cloth,diagonal_hook,shifted_contact,generative_only,0.008536078241690405,1.7309626980900803,0.00912969958019141,0.024515718701930204,0.0014723543263554255,0.006320428432076201,0.013499428309259823,89.30371258430358,False,0.9970238095238095,0.09702380952380951,0.053931783570778324,0.23522441716319956,-3.101195601351388
4,cloth,diagonal_hook,shifted_contact,physics_only,0.0027233853683047526,0.552253429688141,0.0025142828559721786,0.00399792386070619,0.001697858019044693,0.0035114364239539164,0.0026488688966216315,8.016814058983611,False,0.8859126984126984,0.014087301587301648,0.007223549315343731,1.2209121454528717,-4.5977097727892335
4,cloth,diagonal_hook,shifted_contact,hybrid,0.0027233853683047526,0.552253429688141,0.0025142828559721786,0.00399792386070619,0.001697858019044693,0.0035114364239539164,0.0026488688966216315,8.016814058983611,False,0.8859126984126984,0.014087301587301648,0.007223549315343731,1.2209121454528717,-4.5977097727892335
4,soft_block,diagonal_hook,matched_contact,generative_only,0.01187171035242272,1.2937533591828225,0.01299401982430337,0.029774609259923646,0.0027451152896496712,0.010515643504785491,0.017714285612263243,95.66611471891017,False,0.9866071428571429,0.08660714285714288,0.05777025292340887,0.40142427527398394,-2.9574298388225904
4,soft_block,diagonal_hook,matched_contact,physics_only,0.001692973493510155,0.18449659562231974,0.0017841959620328758,0.004049676666550331,0.0004090891690236723,0.001560201576895773,0.002484114448945949,7.999999999999981,False,0.9497767857142857,0.049776785714285676,0.007237727012753055,0.5403405972606883,-4.935597240335649
4,soft_block,diagonal_hook,matched_contact,hybrid,0.001692973493510155,0.18449659562231974,0.0017841959620328758,0.004049676666550331,0.0004090891690236723,0.001560201576895773,0.002484114448945949,7.999999999999981,False,0.9497767857142857,0.049776785714285676,0.007237727012753055,0.5403405972606883,-4.935597240335649
4,soft_block,diagonal_hook,shifted_contact,generative_only,0.009260332814140865,1.5445768890876215,0.010164398157102227,0.024875064036718877,0.0016331902631538948,0.007202169597953562,0.014464474074801779,95.68408874040355,False,0.9988839285714286,0.09888392857142858,0.05777025292340887,0.23726589124965222,-3.0395090308347568
4,soft_block,diagonal_hook,shifted_contact,physics_only,0.002939836193912327,0.4903498755343138,0.002847376605921379,0.004551368668277062,0.0018283159654684039,0.003670807853743898,0.0030226353625499194,8.017974021493357,False,0.8258928571428571,0.07410714285714293,0.007237727012753055,1.5398547268996658,-4.4358401755161605
4,soft_block,diagonal_hook,shifted_contact,hybrid,0.002939836193912327,0.4903498755343138,0.002847376605921379,0.004551368668277062,0.0018283159654684039,0.003670807853743898,0.0030226353625499194,8.017974021493357,False,0.8258928571428571,0.07410714285714293,0.007237727012753055,1.5398547268996658,-4.4358401755161605
