panel,family,dlo,trajectory,arm,normalized_mse,rmse_mm2
heldout_queries,squared_distance,DLO4,58.pkl,point_plugin,0.03306662038796091,11128.979388224425
heldout_queries,squared_distance,DLO4,66.pkl,point_plugin,0.06944700762911199,16128.248337303363
heldout_queries,squared_distance,DLO4,70.pkl,point_plugin,0.061704252156974546,15202.603886001843
heldout_queries,squared_distance,DLO4,81.pkl,point_plugin,0.09195228016466728,18558.449299403852
heldout_queries,squared_distance,DLO4,84.pkl,point_plugin,0.046944354196292136,13260.26238654997
heldout_queries,squared_distance,DLO4,93.pkl,point_plugin,0.04854738876980721,13484.76464508981
heldout_queries,squared_distance,DLO4,96.pkl,point_plugin,0.03876290326326006,12049.487679210373
heldout_queries,squared_distance,DLO4,11.pkl,native_block_posterior,0.029810232556151166,10566.790943381351
heldout_queries,squared_distance,DLO4,16.pkl,native_block_posterior,0.02918377090953352,10455.170919704837
heldout_queries,squared_distance,DLO4,30.pkl,native_block_posterior,0.02496750350776131,9670.47915291013
heldout_queries,squared_distance,DLO4,35.pkl,native_block_posterior,0.045086025123393214,12995.153314853364
heldout_queries,squared_distance,DLO4,41.pkl,native_block_posterior,0.039043313887652704,12092.992106373007
heldout_queries,squared_distance,DLO4,5.pkl,native_block_posterior,0.0346390990533459,11390.52462035761
heldout_queries,squared_distance,DLO4,56.pkl,native_block_posterior,0.04638197843350937,13180.596590174198
heldout_queries,squared_distance,DLO4,58.pkl,native_block_posterior,0.025797996285015237,9829.997812732312
heldout_queries,squared_distance,DLO4,66.pkl,native_block_posterior,0.058763408556099815,14835.900867886521
heldout_queries,squared_distance,DLO4,70.pkl,native_block_posterior,0.048037170136871074,13413.717044631574
heldout_queries,squared_distance,DLO4,81.pkl,native_block_posterior,0.08634933550836878,17984.150702693587
heldout_queries,squared_distance,DLO4,84.pkl,native_block_posterior,0.038635231851972,12029.627919297038
heldout_queries,squared_distance,DLO4,93.pkl,native_block_posterior,0.04081630387633322,12364.520260993771
heldout_queries,squared_distance,DLO4,96.pkl,native_block_posterior,0.02850793354121185,10333.401453624576
heldout_queries,squared_distance,DLO4,11.pkl,source_coupled_posterior_extension,0.029912983627992242,10584.98629126564
