schema,group_id,scenario,method_id,solver_admissible,solver_reason,risk_score,guard_threshold,guard_accepted,exact_fallback,baseline_rmse_m,raw_rmse_m,deployed_rmse_m,raw_harmful,harmful_accepted,raw_improvement_fraction,deployed_improvement_fraction,coverage_90,predictive_width_rms_m,nominal_probability,identifiable_fraction,query_sensitivity_fraction,fixed_point_converged
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420862,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005027365504812286,0.005027365504812286,0.005027365504812286,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420863,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005410818776371862,0.005410818776371862,0.005410818776371862,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420864,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.008272976578144997,0.008272976578144997,0.008272976578144997,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420865,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.003765042519536687,0.003765042519536687,0.003765042519536687,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420866,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007675964475566049,0.007675964475566049,0.007675964475566049,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420867,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.008714120594407451,0.008714120594407451,0.008714120594407451,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520804,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.006295163382284109,0.006295163382284109,0.006295163382284109,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520805,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.004014819144346342,0.004014819144346342,0.004014819144346342,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520806,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.009788929661137867,0.009788929661137867,0.009788929661137867,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520807,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.008952025647914825,0.008952025647914825,0.008952025647914825,False,False,0.0,0.0,,,1.0,0.0,0.0,True
